stock_code,parent_stock_type,parent_stock_code,stock_available
GL35055-PUR-OS,Teddy,GL35055,3,"Glitter\35055-PURP-F.jpg","Glitter\35055-PURP-B.jpg"
GL35057,Teddy,GL35057,0,"Glitter\35057-RED-F.jpg","Glitter\35057-RED-B.jpg"
GL35062-BLU-OS,Teddy,GL35062,1,"Glitter\35062-BLUE-F"
GL35071-RED-L,Teddy,GL35071,2,"Glitter\35071-RED-F"
GL35071-RED-M,Teddy,GL35071,1,"Glitter\35071-RED-F"
GL35071-RED-S,Teddy,GL35071,2,"Glitter\35071-RED-F"
GL35071-RED-XL,Teddy,GL35071,2,"Glitter\35071-RED-F"
GL35071X-RED-1X,Teddy,GL35071X,2,"Glitter\35071X-RED-F"
GL35071X-RED-2X,Teddy,GL35071X,2,"Glitter\35071X-RED-F"
GL35071X-RED-3X,Teddy,GL35071X,2,"Glitter\35071X-RED-F"
GL37522-BLK-OS,Bodystocking,GL37522,9,"Glitter\37522-BLAC-F"
GL37522X-BLK-QS,Bodystocking,GL37522X,4,"Glitter\37522X-BLAC-F"
GL37534-BLK-LXL,"Gowns & Robes",GL37534,1,"Glitter\37534-BLAC-F.jpg","Glitter\37534-BLAC-B.jpg"
GL37534-BLK-SM,"Gowns & Robes",GL37534,2,"Glitter\37534-BLAC-F.jpg","Glitter\37534-BLAC-B.jpg"
GL37534X-BLK-1X,"Gowns & Robes",GL37534X,2,"Glitter\37534X-BLAC-F.jpg","Glitter\37534X-BLAC-B.jpg"
GL37534X-BLK-2X,"Gowns & Robes",GL37534X,2,"Glitter\37534X-BLAC-F.jpg","Glitter\37534X-BLAC-B.jpg"
GL37534X-BLK-3X,"Gowns & Robes",GL37534X,1,"Glitter\37534X-BLAC-F.jpg","Glitter\37534X-BLAC-B.jpg"
GL32119-RED-L,Chemise,GL32119,1,"Glitter\32119-RED-F"
GL32119-RED-XL,Chemise,GL32119,1,"Glitter\32119-RED-F"
GL32119-RED-S,Chemise,GL32119,0,"Glitter\32119-RED-F"
GL32119-RED-M,Chemise,GL32119,0,"Glitter\32119-RED-F"
GL34002-WHT-OS,"Cami Set",GL34002,1,"Glitter\34002-WHIT-F"
GL37524-BLK-OS,Bodystocking,GL37524,10,"Glitter\37524-BLAC-F.jpg","Glitter\37524-BLAC-B.jpg"
