stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
EP100-PUR-OS,"Hustler Ruffle Booty Shorts - Purple One Size",Boyshort,EP100,37,product,"Hustler\EP100-PUR_01",
ESH-014-PNK-S,"Hustler Naughty Schoolgirl Long Skirt - Pink Small",Skirt,ESH-014,3,product,"Hustler\ESH-014-PNK",
ESH-014-RED-S,"Hustler Naughty Schoolgirl Long Skirt - Red Small",Skirt,ESH-014,8,product,"Hustler\ESH-014-PNK","Hustler\ESH-014-RED"
HP15-PNK-M/L,"Hustler Classic Lace G-String - Pink Medium/Large",G-String,HP15,49,product,"Hustler\HP15_01",
HP16-BLK-S/M,"Hustler Classic Lace Boyshort - Black Small/Medium",Boyshort,HP16,217,product,"Hustler\HP16-Front",
HP17-PNK-S/M,"Hustler Classic Lace Boyshort - Pink Small/Medium",Boyshort,HP17,7,product,"Hustler\HP17-Front",
HP19-LEO-M/L,"Hustler Sexy Foil Booty Short - Leopard Medium/Large",Boyshort,HP19,19,product,"Hustler\HP19-LEO",
HP19-LEO-S/M,"Hustler Sexy Foil Booty Short - Leopard Small/Medium",Boyshort,HP19,17,product,"Hustler\HP19-LEO",
HP19-PNK-S/M,"Hustler Sexy Foil Booty Short - Pink Small/Medium",Boyshort,HP19,8,product,"Hustler\HP19-PNK",
HP19-PNK-M/L,"Hustler Sexy Foil Booty Short - Pink Medium/Large",Boyshort,HP19,7,product,"Hustler\HP19-PNK",
HP20-BLK/PNK-S/M,"Hustler Rear View Lace Thong - Black/Pink Small/Medium",Thong,HP20,41,product,"Hustler\HP20_01",
HP20-BLK/PNK-M/L,"Hustler Rear View Lace Thong - Black/Pink Medium/Large",Thong,HP20,36,product,"Hustler\HP20_01",
HP21-BLK/PNK-S/M,"Hustler Lace G-String - Black/Pink Small/Medium",G-String,HP21,24,product,"Hustler\HP21_01",
HP21-BLK/PNK-M/L,"Hustler Lace G-String - Black/Pink Medium/Large",G-String,HP21,23,product,"Hustler\HP21_01",
