stock_code,description,parent_stock_type,parent_stock_code,stock_available
RR1065-NDE-S/M,"Nude Open Back Panty - Nude Small/Medium",Panty,RR1065,49,"Rene\RR1065_010_01","Rene\RR1065_010_02.jpg"
RR1066-BLK-S/M,"Open Back Retro Panty - Black Small/Medium",Panty,RR1066,27,"Rene\RR1066-BLK_01","Rene\RR1066-BLK_02.jpg"
RR1073-BLK-S/M,"Crotchless Fishnet Panty - Black Small/Medium",Panty,RR1073,29,"Rene\RR1073_003_01","Rene\RR1073_003_02.jpg"
RR1074-BLK-M/L,"Crotchless Pnk Bows Pnty W/Grt - Black Medium/Large",Panty,RR1074,92,"Rene\1074-BLK","Rene\1074-BLK-B.jpg"
RR1074-BLK-S/M,"Crotchless Pnk Bows Pnty W/Grt - Black Small/Medium",Panty,RR1074,187,"Rene\1074-BLK","Rene\1074-BLK-B.jpg"
RR1075-BLK-M/L,"Crotchless Floral Lace Panty - Black Medium/Large",Panty,RR1075,0,"Rene\1075-BLK","Rene\1075-BLK-B.jpg"
RR1075-BLK-S/M,"Crotchless Floral Lace Panty - Black Small/Medium",Panty,RR1075,0,"Rene\1075-BLK","Rene\1075-BLK-B.jpg"
RR1076-PNK-M/L,"Crotchless Diamond & Lace Panty - Pink Medium/Large",Panty,RR1076,13,"Rene\RR1076_003_01","Rene\RR1076_003_02.jpg"
RR1078-BLK-M/L,"Crotchless Lace Back Panty - Black Medium/Large",Panty,RR1078,1,"Rene\1078-BLK","Rene\1078-BLK-B.jpg"
RR1078-BLK-S/M,"Crotchless Lace Back Panty - Black Small/Medium",Panty,RR1078,0,"Rene\1078-BLK","Rene\1078-BLK-B.jpg"
RR1079-RED-M/L,"Crotchless Strappy Lace Panty - Red Medium/Large",Panty,RR1079,177,"Rene\1079-RED","Rene\1079-RED-B.jpg"
RR1079-RED-S/M,"Crotchless Strappy Lace Panty - Red Small/Medium",Panty,RR1079,182,"Rene\1079-RED","Rene\1079-RED-B.jpg"
RR1095-BLK-M/L,"Crotchless Lace Thong W/Bk Bow - Black Medium/Large",Thong,RR1095,0,"Rene\1095-BLK","Rene\1095-BLK-B.jpg"
RR1095-BLK-S/M,"Crotchless Lace Thong W/Bk Bow - Black Small/Medium",Thong,RR1095,0,"Rene\1095-BLK","Rene\1095-BLK-B.jpg"
RR1095-RED-M/L,"Crotchless Lace Thong W/Bk Bow - Red Medium/Large",Thong,RR1095,12,"Rene\1095-RED","Rene\1095-RED-B.jpg"
RR1095-RED-S/M,"Crotchless Lace Thong W/Bk Bow - Red Small/Medium",Thong,RR1095,0,"Rene\1095-RED","Rene\1095-RED-B.jpg"
RR1098-BLK-M/L,"Crotchless Lace Skirted Thong - Black Medium/Large",Thong,RR1098,139,"Rene\RR1098-BLK_01","Rene\RR1098-BLK_02.jpg"
RR1098-BLK-S/M,"Crotchless Lace Skirted Thong - Black Small/Medium",Thong,RR1098,89,"Rene\RR1098-BLK_01","Rene\RR1098-BLK_02.jpg"
RR1099-BLK-S/M,"Dirty Secrets Crotchless Lace Panty - Black Small/Medium",Panty,RR1099,52,"Rene\RR1099-BLK_01","Rene\RR1099-BLK_02.jpg"
RR1104-BLK-S/M,"Crotchless Leopard Lace Panty - Black Small/Medium",Panty,RR1104,49,"Rene\1104-BLK","Rene\1104-BLK-B.jpg"
RR1108-BLK-M/L,"Crotchless Lace V-Back Panty - Black Medium/Large",Panty,RR1108,58,"Rene\1108-BLK","Rene\1108-BLK-B.jpg"
RR1108-BLK-S/M,"Crotchless Lace V-Back Panty - Black Small/Medium",Panty,RR1108,56,"Rene\1108-BLK","Rene\1108-BLK-B.jpg"
RR1110-BLK-M/L,"Crotchless Lace Panty - Black Medium/Large",Panty,RR1110,67,"Rene\1110-BLK","Rene\1110-BLK-B.jpg"
RR1110-BLK-S/M,"Crotchless Lace Panty - Black Small/Medium",Panty,RR1110,64,"Rene\1110-BLK","Rene\1110-BLK-B.jpg"
RR1113-BLK-M/L,"Crotchless Lace Garter Panty - Black Medium/Large",Panty,RR1113,4,"Rene\1113-BLK","Rene\1113-BLK-B-main.jpg"
RR1113-BLK-S/M,"Crotchless Lace Garter Panty - Black Small/Medium",Panty,RR1113,2,"Rene\1113-BLK","Rene\1113-BLK-B-main.jpg"
RR1113-PNK-S/M,"Crotchless Lace Garter Panty - Pink Small/Medium",Panty,RR1113,28,"Rene\1113-PNK-F.jpg","Rene\1113-PNK.jpg"
RR1114-BLK-M/L,"Crotchless Lace Open Back Pant - Black Medium/Large",Panty,RR1114,194,"Rene\1114-BLK","Rene\1114-BLK-B-main.jpg"
RR1114-BLK-S/M,"Crotchless Lace Open Back Pant - Black Small/Medium",Panty,RR1114,203,"Rene\1114-BLK","Rene\1114-BLK-B-main.jpg"
RR1115,,Garterbelt,RR1115,0,"Rene\1115-BLK","Rene\1115-BLK-B.jpg"
RR1116-BLK-M/L,"Crotchless Mesh Bk Layer Panty - Black Medium/Large",Panty,RR1116,63,"Rene\1116-BLK","Rene\1116-BLK-B.jpg"
RR1116-BLK-S/M,"Crotchless Mesh Bk Layer Panty - Black Small/Medium",Panty,RR1116,55,"Rene\1116-BLK","Rene\1116-BLK-B.jpg"
RR1118-RED-M/L,"Crotchless Lace Backv Panty - Red Medium/Large",Panty,RR1118,24,"Rene\1118-RED","Rene\1118-RED-B.jpg"
RR1118-RED-S/M,"Crotchless Lace Backv Panty - Red Small/Medium",Panty,RR1118,42,"Rene\1118-RED","Rene\1118-RED-B.jpg"
RR1119-BLK-M/L,"Crotchless Lace V-Back Panty - Black Medium/Large",Panty,RR1119,0,"Rene\1119-BLK","Rene\1119-BLK-B.jpg"
RR1120-BLK-M/L,"Wide Open Cage Garter - Black Medium/Large",Garterbelt,RR1120,65,"Rene\1120-BLK","Rene\1120-BLK-B.jpg"
RR1120-BLK-S/M,"Wide Open Cage Garter - Black Small/Medium",Garterbelt,RR1120,64,"Rene\1120-BLK","Rene\1120-BLK-B.jpg"
RR1124-RED-M/L,"Lace Criss Cross Garter Red / Medium/Large",Garterbelt,RR1124,37,"Rene\1124-BLK","Rene\1124-BLK-B.jpg"
RR1124-RED-S/M,"Lace Criss Cross Garter Red / Small/Medium",Garterbelt,RR1124,24,"Rene\1124-BLK","Rene\1124-BLK-B.jpg"
RR1126,,Panty,RR1126,0,"Rene\1126-BLK","Rene\1126-BLK-B.jpg"
RR1127-BLK-M/L,"Crotchless Got Your Back Thong - Black Medium/Large",Thong,RR1127,2,"Rene\1127-BLK","Rene\1127-BLK-B.jpg"
RR1127-BLK-S/M,"Crotchless Got Your Back Thong - Black Small/Medium",Thong,RR1127,2,"Rene\1127-BLK","Rene\1127-BLK-B.jpg"
