stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
BD1228,,"Bedroom Costume",BD1228,0,product,"Baci\1228_front.jpg",
BD1231-BLK/RED-S/M,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Small/Medium","Bedroom Costume",BD1231,19,product,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-M/L,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Medium/Large","Bedroom Costume",BD1231,136,product,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-QUEEN,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Queen Size","Bedroom Costume",BD1231,3,product,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1231-BLK/RED-DIVA,"Show Me Top, Gloves and Mini Skirt with Garter - Black/Red Diva Size","Bedroom Costume",BD1231,80,product,"Baci\BD1231_01","Baci\BD1231_02.jpg"
BD1243-BLK/RED-M/L,"Mini Dress, Panty and Hat - Black/Red Medium/Large","Bedroom Costume",BD1243,26,product,"Baci\BD1243_01",
BD1243-BLK/RED-S/M,"Mini Dress, Panty and Hat - Black/Red Small/Medium","Bedroom Costume",BD1243,7,product,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1243-BLK/RED-QUEEN,"Mini Dress, Panty and Hat - Black/Red Queen Size","Bedroom Costume",BD1243,31,product,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1243-BLK/RED-DIVA,"Mini Dress, Panty and Hat - Black/Red Diva Size","Bedroom Costume",BD1243,33,product,"Baci\BD1243_01","Baci\BD1243_02.jpg"
BD1250,,"Bedroom Costume",BD1250,0,product,"Baci\1250_front.jpg",
BD1291-BLK/BLU-OS,"Top with Badge ,Garter, Panty and Hat - Black/Blue One Size","Bedroom Costume",BD1291,39,product,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1291-BLK/BLU-QUEEN,"Top with Badge ,Garter, Panty and Hat - Black/Blue Queen Size","Bedroom Costume",BD1291,74,product,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1291-BLK/BLU-DIVA,"Top with Badge ,Garter, Panty and Hat - Black/Blue Diva Size","Bedroom Costume",BD1291,85,product,"Baci\BD1291_01","Baci\BD1291_02.jpg"
BD1297-BLK/WHT-M/L,"Stripe Bra, Mesh Skirt, Collar Chain Set - Black/White Medium/Large","Bedroom Costume",BD1297,59,product,"Baci\BD1297_01","Baci\BD1297_02.jpg"
BD1297-BLK/WHT-S/M,"Stripe Bra, Mesh Skirt, Collar Chain Set - Black/White Small/Medium","Bedroom Costume",BD1297,37,product,"Baci\BD1297_01","Baci\BD1297_02.jpg"
BD1298-BLK/BLU-M/L,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Medium/Large","Bedroom Costume",BD1298,13,product,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1298-BLK/BLU-S/M,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Small/Medium","Bedroom Costume",BD1298,9,product,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1298-BLK/BLU-QUEEN,"Mesh Chemise, Panty, Garter, Badge, Tie & Headwear Set - Black/Blue Queen Size","Bedroom Costume",BD1298,17,product,"Baci\BD1298_01","Baci\BD1298_02.jpg"
BD1302-BLK/WHT-M/L,"Tie Top, Mini Skirt and cuffs with chain - Black/White Medium/Large","Bedroom Costume",BD1302,88,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-S/M,"Tie Top, Mini Skirt and cuffs with chain - Black/White Small/Medium","Bedroom Costume",BD1302,83,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-QUEEN,"Tie Top, Mini Skirt and cuffs with chain - Black/White Queen Size","Bedroom Costume",BD1302,91,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-DIVA,"Tie Top, Mini Skirt and cuffs with chain - Black/White Diva Size","Bedroom Costume",BD1302,94,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-DS,"Tie Top, Mini Skirt and cuffs with chain - Black & White Diva Size","Bedroom Costume",BD1302,0,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1302-BLK/WHT-QS,"Tie Top, Mini Skirt and cuffs with chain - Black & White Queen Size","Bedroom Costume",BD1302,0,product,"Baci\BD1302_01","Baci\BD1302_02.jpg"
BD1306-CAMO-S/M,"Red Scarf, Mesh Bra and Skirt - Camouflage Small/Medium","Bedroom Costume",BD1306,21,product,"Baci\BD1306_01",
BD1306-CAMO-M/L,"Red Scarf, Mesh Bra and Skirt - Camouflage Medium/Large","Bedroom Costume",BD1306,11,product,"Baci\BD1306_01",
BD1312-BLK-DIVA,"Eye Mask, Collar with Cuff, Panty and Leg Garter - Black Diva Size","Bedroom Costume",BD1312,34,product,"Baci\1312_front","Baci\1312_back.jpg"
BD1312-BLK-QUEEN,"Eye Mask, Collar with Cuff, Panty and Leg Garter - Black Queen Size","Bedroom Costume",BD1312,17,product,"Baci\1312_front","Baci\1312_back.jpg"
BD1332-BLK/WHT-S/M,"Panty & Headwear Set - Black/White Small/Medium","Bedroom Costume",BD1332,38,product,"Baci\BD1332_01","Baci\BD1332_02.jpg"
BD1332-BLK/WHT-M/L,"Panty & Headwear Set - Black/White Medium/Large","Bedroom Costume",BD1332,37,product,"Baci\BD1332_01","Baci\BD1332_02.jpg"
BD1348-BLK/WHT-QUEEN,"Ruffle Bra, Garter Skirt/ Apron & Headwear - Black/White Queen Size","Bedroom Costume",BD1348,13,product,"Baci\1348_front","Baci\1348_back.jpg"
BD1348-BLK/WHT-DIVA,"Ruffle Bra, Garter Skirt/ Apron & Headwear - Black/White Diva Size","Bedroom Costume",BD1348,13,product,"Baci\1348_front","Baci\1348_back.jpg"
BD1352-BLK/WHT-ML,"Black and white bikini set with suspenders / Black/White / Medium/Large","Bedroom Costume",BD1352,31,product,"Baci\1352_front.jpg",
BD1362-BLK/WHT-DIVA,"Apron - Teddy and Collar - Black/White Diva Size","Bedroom Costume",BD1362,64,product,"Baci\1362_front",
BW006-BLU-L,"Lace & Mesh Thong / Blue / Large",Thong,BW006,27,product,"Baci\BW006_01.jpg",
BW006-BLU-M,"Lace & Mesh Thong / Blue / Medium",Thong,BW006,39,product,"Baci\BW006_01.jpg",
BW006-BLU-S,"Lace & Mesh Thong / Blue / Small",Thong,BW006,64,product,"Baci\BW006_01.jpg",
BW007-WHT-DIVA,"Crotchless Lace Thong - White Diva Size",Knicker,BW007,9,product,"Baci\BW007_03.jpg","Baci\BW007_04.jpg"
BW013-BLK/PNK-S,"Mesh Boyshort with lace Trim - Black/Pink Small",Boyshort,BW013,91,product,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW013-BLK/PNK-M,"Mesh Boyshort with lace Trim - Black/Pink Medium",Boyshort,BW013,197,product,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW013-BLK/PNK-L,"Mesh Boyshort with lace Trim - Black/Pink Large",Boyshort,BW013,160,product,"Baci\BW013_01.jpg","Baci\BW013_02.jpg"
BW016-WHT-L,"Lace Thong / White / Large",Thong,BW016,23,product,"Baci\BW016_01.jpg",
BW016-WHT-M,"Lace Thong / White / Medium",Thong,BW016,28,product,"Baci\BW016_01.jpg",
BW016-WHT-S,"Lace Thong / White / Small",Thong,BW016,47,product,"Baci\BW016_01.jpg",
BW017-LPNK-L,"Lace Thong / Light Pink / Large",Thong,BW017,36,product,"Baci\BW017_01.jpg",
BW017-LPNK-M,"Lace Thong / Light Pink / Medium",Thong,BW017,2,product,"Baci\BW017_01.jpg",
BW017-LPNK-S,"Lace Thong / Light Pink / Small",Thong,BW017,27,product,"Baci\BW017_01.jpg",
BW021-WHT-DS,"Lace Low-Rise Booty Shorts / White / Diva Size",Boyshort,BW021,77,product,"Baci\BW021_03.jpg",
BW021-WHT-L,"Lace Low-Rise Booty Shorts / White / Large",Boyshort,BW021,30,product,"Baci\BW021_01.jpg",
BW021-WHT-QS,"Lace Low-Rise Booty Shorts / White / Queen Size",Boyshort,BW021,88,product,"Baci\BW021_03.jpg",
BW041-WHT-DS,"Lace Boyshort / White / Diva Size",Boyshort,BW041,68,product,"Baci\BW041_03.jpg",
BW041-WHT-QS,"Lace Boyshort / White / Queen Size",Boyshort,BW041,58,product,"Baci\BW041_03.jpg",
BW053-ZEB-L,"Lace & Microfiber Thong - Zebra Large.",Thong,BW053,58,product,"Baci\BW053_01.jpg","Baci\BW053_02.jpg"
BW054-ZEB/LPNK-DS,"Lace halter dress / Zebra/Light Pink / Diva Size",Dress,BW054,34,product,"Baci\BW054_03.jpg",
BW054-ZEB/LPNK-QS,"Lace halter dress / Zebra/Light Pink / Queen Size",Dress,BW054,30,product,"Baci\BW054_03.jpg",
BW067-LEO-DIVA,"Two-Piece Chemise Set - Leopard Diva Size",Chemise,BW067,13,product,"Baci\BW067_03.jpg","Baci\BW067_04.jpg"
BW070-BLK/LEO-L,"Lace And Microfiber Thong / Black /Leopard / Large",Thong,BW070,34,product,"Baci\BW070_01.jpg",
BW073-LEO/PNK-DS,"Two-Piece babydoll Set / Leopard/Pink / Diva Size",Babydoll,BW073,91,product,"Baci\BW073_03.jpg",
BW073-LEO/PNK-OS,"Two-Piece babydoll Set / Leopard/Pink / One Size",Babydoll,BW073,1,product,"Baci\BW073_01.jpg",
BW073-LEO/PNK-QS,"Two-Piece babydoll Set / Leopard/Pink / Queen Size",Babydoll,BW073,85,product,"Baci\BW073_03.jpg",
BW079-LEO/BLU-DS,"Lace halter dress / Leopard/Blue / Diva Size",Dress,BW079,83,product,"Baci\BW079_03.jpg",
BW079-LEO/BLU-OS,"Lace halter dress / Leopard/Blue / One Size",Dress,BW079,10,product,"Baci\BW079_01.jpg",
BW079-LEO/BLU-QS,"Lace halter dress / Leopard/Blue / Queen Size",Dress,BW079,86,product,"Baci\BW079_03.jpg",
BW083-WHT/PNK-DS,"Two-Piece Doll Set / White/Pink / Diva Size",Babydoll,BW083,79,product,"Baci\BW083_03.jpg",
BW083-WHT/PNK-QS,"Two-Piece Doll Set / White/Pink / Queen Size",Babydoll,BW083,78,product,"Baci\BW083_03.jpg",
BW086-WHT/LPNK-L,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Large",Boyshort,BW086,25,product,"Baci\BW086_01.jpg",
BW086-WHT/LPNK-M,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Medium",Boyshort,BW086,108,product,"Baci\BW086_01.jpg",
BW086-WHT/LPNK-S,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Small",Boyshort,BW086,36,product,"Baci\BW086_01.jpg",
BW098-PNK-DS,"Lace Halter Dress / Pink / Diva Size",Dress,BW098,40,product,"Baci\BW098_03.jpg",
BW098-PNK-OS,"Lace Halter Dress / Pink / One Size",Dress,BW098,12,product,"Baci\BW098_01.jpg",
BW098-PNK-QS,"Lace Halter Dress / Pink / Queen Size",Dress,BW098,33,product,"Baci\BW098_03.jpg",
BW111-PNK-DIVA,"Deep-V Flower Lace Dress - Pink Diva Size",Dress,BW111,52,product,"Baci\BW111_03.jpg","Baci\BW111_04.jpg"
BW111-PNK-QUEEN,"Deep-V Flower Lace Dress - Pink Queen Size",Dress,BW111,37,product,"Baci\BW111_03.jpg","Baci\BW111_04.jpg"
BW117-BLK/PNK-M,"French cut heart mesh bikini - Black/Pink Medium",Bikini,BW117,2,product,"Baci\BW117_01.jpg","Baci\BW117_02.jpg"
BW120-BLK/PNK-QUEEN,"Ruffle Mesh Nightie - Black/Pink Queen Size",Dress,BW120,99,product,"Baci\BW120_03.jpg","Baci\BW120_04.jpg"
BW120-BLK/PNK-DIVA,"Ruffle Mesh Nightie - Black/Pink Diva Size",Dress,BW120,6,product,"Baci\BW120_03.jpg","Baci\BW120_04.jpg"
BW149-PURP/PNK-DS,"Mesh Boyshorts with Lace Trim / Purple/Pink / Diva Size",Boyshort,BW149,80,product,"Baci\BW149_03.jpg",
BW149-PURP/PNK-M,"Mesh Boyshorts with Lace Trim / Purple/Pink / Medium",Boyshort,BW149,0,product,"Baci\BW149_01.jpg",
BW149-PURP/PNK-QS,"Mesh Boyshorts with Lace Trim / Purple/Pink / Queen Size",Boyshort,BW149,78,product,"Baci\BW149_03.jpg",
BW149-PURP/PNK-S,"Mesh Boyshorts with Lace Trim / Purple/Pink / Small",Boyshort,BW149,8,product,"Baci\BW149_01.jpg",
BW153-PNK-DS,"Lace Boyshort / Pink / Diva Size",Boyshort,BW153,32,product,"Baci\BW153_03.jpg",
BW153-PNK-QS,"Lace Boyshort / Pink / Queen Size",Boyshort,BW153,38,product,"Baci\BW153_03.jpg",
BW156-LTPNK-S,"Lace Boyshort - LightPink Small",Boyshort,BW156,40,product,"Baci\BW156_01.jpg","Baci\BW156_02.jpg"
BW157-PNK/BLK-L,"Lace G-string / Pink/Black / Large",G-String,BW157,40,product,"Baci\BW157_01.jpg",
BW157-PNK/BLK-M,"Lace G-string / Pink/Black / Medium",G-String,BW157,14,product,"Baci\BW157_01.jpg",
BW157-PNK/BLK-S,"Lace G-string / Pink/Black / Small",G-String,BW157,26,product,"Baci\BW157_01.jpg",
BW159-PNK-DS,"Low Rise Lace Booty Shorts / Pink / Diva Size",Boyshort,BW159,68,product,"Baci\BW159_03.jpg",
BW159-PNK-QS,"Low Rise Lace Booty Shorts / Pink / Queen Size",Boyshort,BW159,9,product,"Baci\BW159_03.jpg",
BW170-BLK-QS,"Longsleeve flower lace bodystocking Black / Queen",Bodystocking,BW170,2,product,"Baci\BW170_03.jpg","Baci\BW170_04.jpg"
BW180-BLK-DS,"Lace teddy / Black / Diva Size",Teddy,BW180,35,product,"Baci\BW180_03.jpg",
BW180-BLK-QS,"Lace Teddy / Black / Queen Size",Teddy,BW180,24,product,"Baci\BW180_03.jpg",
BW201-RED-L,"French cut heart mesh bikini / Red / Large",Bikini,BW201,136,product,"Baci\BW201_01.jpg",
BW201-RED-M,"French cut heart mesh bikini / Red / Medium",Bikini,BW201,115,product,"Baci\BW201_01.jpg",
