stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10607X-PUR-3X/4X,"Galloon Lace Panty - Purple 3X/4X",Knicker,STM10607X,71,"STM\10607X_PURPLE_F.jpg","STM\10607X_PURPLE_B.jpg"
STM10607X-RED-1X/2X,"Galloon Lace Panty - Red 1X/2X",Knicker,STM10607X,9,"STM\10607X_RED_F.jpg","STM\10607X_RED_B.jpg"
STM10607X-RED-3X/4X,"Galloon Lace Panty - Red 3X/4X",Knicker,STM10607X,12,"STM\10607X_RED_F.jpg","STM\10607X_RED_B.jpg"
STM10607X-WHT-1X/2X,"Galloon Lace Panty - White 1X/2X",Knicker,STM10607X,0,"STM\10607X_WHITE_F.jpg","STM\10607X_WHITE_B.jpg"
STM10607X-WHT-3X/4X,"Galloon Lace Panty - White 3X/4X",Knicker,STM10607X,0,"STM\10607X_WHITE_F.jpg","STM\10607X_WHITE_B.jpg"
STM10615-WHT-XL,"Tropical Galloon Lace Thong / White / X-Large",Thong,STM10615,5,"STM\10615_WHITE_F.jpg","STM\10615_WHITE_B.jpg","STM\10615_WHITE_F"
STM10615X-PUR-1X/2X,"Galloon lace thong - Purple 1X/2X",Thong,STM10615X,55,"STM\10615X_PURPLE_F.jpg","STM\10615X_PURPLE_B.jpg"
STM10615X-PUR-3X/4X,"Galloon lace thong - Purple 3X/4X",Thong,STM10615X,57,"STM\10615X_PURPLE_F.jpg","STM\10615X_PURPLE_B.jpg"
STM10615X-TUR-1X/2X,"Galloon lace thong - Turquoise 1X/2X",Thong,STM10615X,58,"STM\10615X_TURQ_F.jpg","STM\10615X_TURQ_B.jpg"
STM10615X-TUR-3X/4X,"Galloon lace thong - Turquoise 3X/4X",Thong,STM10615X,56,"STM\10615X_TURQ_F.jpg","STM\10615X_TURQ_B.jpg"
STM10629-PNK-XL,"Galloon Lace & Dot Mesh Panty - Pink X-Large",Knicker,STM10629,1,"STM\10629_PINK_F.jpg","STM\10629_PINK_B.jpg"
STM10629X-BLK-1X/2X,"Galloon Lace & Dot Mesh Panty - Black 1X/2X",Knicker,STM10629X,0,"STM\10629X_BLACK_F.jpg","STM\10629X_BLACK_B.jpg"
STM10629X-BLK-3X/4X,"Galloon Lace & Dot Mesh Panty - Black 3X/4X",Knicker,STM10629X,0,"STM\10629X_BLACK_F.jpg","STM\10629X_BLACK_B.jpg"
STM10629X-BLU-1X/2X,"Galloon Lace & Dot Mesh Panty - Blue 1X/2X",Knicker,STM10629X,0,"STM\10629X_BLUE_F.jpg","STM\10629X_BLUE_B.jpg"
STM10629X-BLU-3X/4X,"Galloon Lace & Dot Mesh Panty - Blue 3X/4X",Knicker,STM10629X,0,"STM\10629X_BLUE_F.jpg","STM\10629X_BLUE_B.jpg"
STM10629X-PNK-1X/2X,"Galloon Lace & Dot Mesh Panty - Pink 1X/2X",Knicker,STM10629X,0,"STM\10629X_PINK_F.jpg","STM\10629X_PINK_B.jpg"
STM10629X-PNK-3X/4X,"Galloon Lace & Dot Mesh Panty - Pink 3X/4X",Knicker,STM10629X,0,"STM\10629X_PINK_F.jpg","STM\10629X_PINK_B.jpg"
STM10629X-PUR-1X/2X,"Galloon Lace & Dot Mesh Panty - Purple 1X/2X",Knicker,STM10629X,0,"STM\10629X_PURPLE_F.jpg","STM\10629X_PURPLE_B.jpg"
STM10629X-PUR-3X/4X,"Galloon Lace & Dot Mesh Panty - Purple 3X/4X",Knicker,STM10629X,0,"STM\10629X_PURPLE_F.jpg","STM\10629X_PURPLE_B.jpg"
STM10645P-RED-OS,"Galloon Lace Thong / Red / One Size",Thong,STM10645P,5,"STM\10645P_RED_F.jpg","STM\10645P_RED_B.jpg","STM\10645P_RED_F"
STM10645XP-RED-QUEEN,"Galloon Lace Thong - Red Queen Size",Thong,STM10645XP,2,"STM\10645XP_RED_F.jpg","STM\10645XP_RED_B.jpg"
STM10648P-BLK-OS,"Crochet Lace Split Crotch Thong - Black One Size",Thong,STM10648P,150,"STM\10648P_BLACK_F.jpg","STM\10648P_BLACK_B.jpg"
STM10648P-RED-OS,"Crochet Lace Split Crotch Thong - Red One Size",Thong,STM10648P,0,"STM\10648P_RED_F.jpg","STM\10648P_RED_B.jpg"
STM10648P-WHT-OS,"Crochet Lace Split Crotch Thong - White One Size",Thong,STM10648P,46,"STM\10648P_WHITE_F.jpg","STM\10648P_WHITE_B.jpg"
STM10648XP-WHT-QUEEN,"Crochet Lace Split Crotch Thong - White Queen Size",Thong,STM10648XP,0,"STM\10648XP_WHITE_F.jpg","STM\10648XP_WHITE_B.jpg"
STM10648XP-BLK-QUEEN,"Crochet Lace Split Crotch Thong - Black Queen Size",Thong,STM10648XP,0,"STM\10648XP_BLACK_F.jpg","STM\10648XP_BLACK_B.jpg"
STM10648XP-RED-QUEEN,"Crochet Lace Split Crotch Thong - Red Queen Size",Thong,STM10648XP,0,"STM\10648XP_RED_F.jpg","STM\10648XP_RED_B.jpg"
STM10672-BLK-S/M,,Babydoll,STM10672-BLK-S/M,38,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG"
STM10672-BLK-L/XL,,Babydoll,STM10672-BLK-L/XL,64,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG"
STM10672-FUC-S/M,"Wondrous Babydoll Set - Fuchsia Small/Medium",Babydoll,STM10672,0,"STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672-FUC-L/XL,"Wondrous Babydoll Set - Fuchsia Large/X-Large",Babydoll,STM10672,0,"STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg"
STM10672-NVY-S/M,"Wondrous Babydoll Set - Navy Small/Medium",Babydoll,STM10672,237,"STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-NVY-L/XL,"Wondrous Babydoll Set - Navy Large/X-Large",Babydoll,STM10672,512,"STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
STM10672-RED-S/M,"Wondrous Babydoll Set - Red Small/Medium",Babydoll,STM10672,62,"STM\10672_RED_F.jpg","STM\10672_RED_B.jpg"
STM10672-RED-L/XL,,Babydoll,STM10672-RED-L/XL,51,"STM\10672_RED_F.jpg","STM\10672_RED_B.jpg"
STM10672-EMR-L/XL,"Wondrous Babydoll Set - Emerald Large/X-Large",Babydoll,STM10672,0,"STM\10672_Black_F.JPG","STM\10672_Black_B.JPG","STM\10672_RED_F.jpg","STM\10672_RED_B.jpg","STM\10672_FUS_F.jpg","STM\10672_FUS_B.jpg","STM\10672_NAVY_F.JPG","STM\10672_NAVY_B.jpg"
