stock_code,parent_stock_type,parent_stock_code,stock_available
RR1104-BLK-S/M,Panty,RR1104,49,"Rene\1104-BLK","Rene\1104-BLK-B.jpg"
RR1108-BLK-M/L,Panty,RR1108,58,"Rene\1108-BLK","Rene\1108-BLK-B.jpg"
RR1108-BLK-S/M,Panty,RR1108,56,"Rene\1108-BLK","Rene\1108-BLK-B.jpg"
RR1110-BLK-M/L,Panty,RR1110,67,"Rene\1110-BLK","Rene\1110-BLK-B.jpg"
RR1110-BLK-S/M,Panty,RR1110,64,"Rene\1110-BLK","Rene\1110-BLK-B.jpg"
RR1113-BLK-M/L,Panty,RR1113,4,"Rene\1113-BLK","Rene\1113-BLK-B-main.jpg"
RR1113-BLK-S/M,Panty,RR1113,2,"Rene\1113-BLK","Rene\1113-BLK-B-main.jpg"
RR1113-PNK-S/M,Panty,RR1113,28,"Rene\1113-PNK-F.jpg","Rene\1113-PNK.jpg"
RR1114-BLK-M/L,Panty,RR1114,194,"Rene\1114-BLK","Rene\1114-BLK-B-main.jpg"
RR1114-BLK-S/M,Panty,RR1114,203,"Rene\1114-BLK","Rene\1114-BLK-B-main.jpg"
RR1115,Garterbelt,RR1115,0,"Rene\1115-BLK","Rene\1115-BLK-B.jpg"
RR1116-BLK-M/L,Panty,RR1116,63,"Rene\1116-BLK","Rene\1116-BLK-B.jpg"
RR1116-BLK-S/M,Panty,RR1116,55,"Rene\1116-BLK","Rene\1116-BLK-B.jpg"
RR1118-RED-M/L,Panty,RR1118,24,"Rene\1118-RED","Rene\1118-RED-B.jpg"
RR1118-RED-S/M,Panty,RR1118,42,"Rene\1118-RED","Rene\1118-RED-B.jpg"
RR1119-BLK-M/L,Panty,RR1119,0,"Rene\1119-BLK","Rene\1119-BLK-B.jpg"
RR1120-BLK-M/L,Garterbelt,RR1120,65,"Rene\1120-BLK","Rene\1120-BLK-B.jpg"
RR1120-BLK-S/M,Garterbelt,RR1120,64,"Rene\1120-BLK","Rene\1120-BLK-B.jpg"
RR1124-RED-M/L,Garterbelt,RR1124,37,"Rene\1124-BLK","Rene\1124-BLK-B.jpg"
RR1124-RED-S/M,Garterbelt,RR1124,24,"Rene\1124-BLK","Rene\1124-BLK-B.jpg"
RR1126,Panty,RR1126,0,"Rene\1126-BLK","Rene\1126-BLK-B.jpg"
RR1127-BLK-M/L,Thong,RR1127,2,"Rene\1127-BLK","Rene\1127-BLK-B.jpg"
RR1127-BLK-S/M,Thong,RR1127,2,"Rene\1127-BLK","Rene\1127-BLK-B.jpg"
RR1131-BLK-M/L,Set,RR1131,0,"Rene\1131-BLK","Rene\1131-BLK-B.jpg"
RR1131-BLK-S/M,Set,RR1131,2,"Rene\1131-BLK","Rene\1131-BLK-B.jpg"
RR1134,Tanga,RR1134,0,"Rene\1134-BLK","Rene\1134-BLK-B.jpg"
RR1135-RED-M/L,Tanga,RR1135,0,"Rene\1135-RED","Rene\1135-RED-B.jpg"
RR1136-BLK-M/L,Bikini,RR1136,28,"Rene\1136-BLK","Rene\1136-BLK-B.jpg"
RR1136-BLK-S/M,Bikini,RR1136,35,"Rene\1136-BLK","Rene\1136-BLK-B.jpg"
RR1137-BLK-M/L,Panty,RR1137,3,"Rene\1137-BLK-04.jpg","Rene\1137-BLK-03.jpg"
RR1137-BLK-S/M,Panty,RR1137,3,"Rene\1137-BLK-04.jpg","Rene\1137-BLK-03.jpg"
RR1138-BLK-M/L,Panty,RR1138,0,"Rene\1138-BLK-02","Rene\1138-BLK-03.jpg"
RR1138-BLK-S/M,Panty,RR1138,0,"Rene\1138-BLK-02","Rene\1138-BLK-03.jpg"
RR1139-BLK-M/L,Panty,RR1139,0,"Rene\1139-BLK-01","Rene\1139-BLK-04.jpg"
RR1139-BLK-S/M,Panty,RR1139,0,"Rene\1139-BLK-01","Rene\1139-BLK-04.jpg"
RR1140-BLK-M/L,Panty,RR1140,8,"Rene\1140-BLK-04","Rene\1140-BLK-06.jpg"
RR1141X-BLK-1X/2X,Panty,RR1141X,0,"Rene\1141X-BLK-8608","Rene\1141X-BLK-8641.jpg"
RR1141X-BLK-3X/4X,Panty,RR1141X,0,"Rene\1141X-BLK-8608","Rene\1141X-BLK-8641.jpg"
RR1142X-BLK-1X/2X,Panty,RR1142X,2,"Rene\1142X-BLK-8843","Rene\1142X-BLK-8857.jpg"
RR1142X-BLK-3X/4X,Panty,RR1142X,2,"Rene\1142X-BLK-8843","Rene\1142X-BLK-8857.jpg"
RR1143X-BLK-1X/2X,Panty,RR1143X,0,"Rene\1143X-BLK-8665","Rene\1143X-BLK-8683.jpg"
RR1143X-BLK-3X/4X,Panty,RR1143X,3,"Rene\1143X-BLK-8665","Rene\1143X-BLK-8683.jpg"
RR1144-BLK-M/L,Panty,RR1144,7,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-BLK-S/M,Panty,RR1144,0,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-RED-S/M,Panty,RR1144,5,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1144-RED-M/L,Panty,RR1144,5,"Rene\1144-BLK-1082","Rene\1144-BLK-1102.jpg"
RR1145-BLK-M/L,Panty,RR1145,0,"Rene\1145-BLK-0989","Rene\1145-BLK-1017.jpg"
RR1145-BLK-S/M,Panty,RR1145,0,"Rene\1145-BLK-0989","Rene\1145-BLK-1017.jpg"
RR1146-BLK-M/L,Stockings,RR1146,8,"Rene\1146-BLK-0471","Rene\1146-BLK-0520.jpg"
RR1146-BLK-S/M,Stockings,RR1146,4,"Rene\1146-BLK-0471","Rene\1146-BLK-0520.jpg"
RR1147-BLK-M/L,Panty,RR1147,6,"Rene\1147-BLK-8600","Rene\1147-BLK-8621.jpg"
RR1147-BLK-S/M,Panty,RR1147,6,"Rene\1147-BLK-8600","Rene\1147-BLK-8621.jpg"
RR1148-BLK-M/L,Panty,RR1148,12,"Rene\1148-BLK-8581","Rene\1148-BLK-8590.jpg"
RR1148-BLK-S/M,Panty,RR1148,5,"Rene\1148-BLK-8581","Rene\1148-BLK-8590.jpg"
RR1148X-BLK-1X/2X,Panty,RR1148X,6,"Rene\1148X-BLK-6049","Rene\1148X-BLK-6067.jpg"
RR1148X-BLK-3X/4X,Panty,RR1148X,6,"Rene\1148X-BLK-6049","Rene\1148X-BLK-6067.jpg"
RR1149-BUR-M/L,Panty,RR1149,4,"Rene\1149-BUR-8568","Rene\1149-BUR-8578.jpg"
RR1149-BUR-S/M,Panty,RR1149,3,"Rene\1149-BUR-8568","Rene\1149-BUR-8578.jpg"
RR1149X-BUR-1X/2X,Panty,RR1149X,3,"Rene\1149X-BUR-5974","Rene\1149X-BUR-5995.jpg"
RR1149X-BUR-3X/4X,Panty,RR1149X,3,"Rene\1149X-BUR-5974","Rene\1149X-BUR-5995.jpg"
RR1150-BLK-M/L,Panty,RR1150,14,"Rene\1150-BLK-8550","Rene\1150-BLK-8558.jpg"
RR1150-BLK-S/M,Panty,RR1150,16,"Rene\1150-BLK-8550","Rene\1150-BLK-8558.jpg"
RR1150X-BLK-1X/2X,Panty,RR1150X,16,"Rene\1150X-BLK-6017","Rene\1150X-BLK-6030.jpg"
RR1150X-BLK-3X/4X,Panty,RR1150X,16,"Rene\1150X-BLK-6017","Rene\1150X-BLK-6030.jpg"
RR1151-BLK-M/L,Panty,RR1151,13,"Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0779","Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0774.jpg"
RR1151-BLK-S/M,Panty,RR1151,13,"Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0780","Rene\1151-BLK-Exquisite-Trap-Crotchless-Panty-0774.jpg"
RR1152-WHT-M/L,Panty,RR1152,0,"Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3316","Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3340.jpg"
RR1152-WHT-S/M,Panty,RR1152,1,"Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3316","Rene\1152-WHT--All-Tied-Up-Open-Back-Panty-3340.jpg"
RR1152-BLK-M/L,Panty,RR1152,0,"Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2137","Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2170.jpg"
RR1152-BLK-S/M,Panty,RR1152,1,"Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2137","Rene\1152-BLK--All-Tied-Up-Open-Back-Panty-2170.jpg"
RR1152X-BLK-1X/2X,Panty,RR1152X,1,"Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1755","Rene\1152X-BLK--All-Tied-Up-Open-Back-Panty-1744.jpg"
