stock_code,parent_stock_type,parent_stock_code,stock_available
B2001-BLK-34DDD,Bra,B2001,8,"Rene\B2001-BLK"
B2001-BLK-34F,Bra,B2001,11,"Rene\B2001-BLK"
B2001-BLK-36DDD,Bra,B2001,11,"Rene\B2001-BLK"
B2002-BLK-30DDD,Bra,B2002,4,"Rene\B2002-BLK"
B2002-BLK-30F,Bra,B2002,11,"Rene\B2002-BLK"
B2002-BLK-32DD,Bra,B2002,4,"Rene\B2002-BLK"
B2002-BLK-32DDD,Bra,B2002,4,"Rene\B2002-BLK"
B2002-BLK-32F,Bra,B2002,2,"Rene\B2002-BLK"
B2002-BLK-34DD,Bra,B2002,2,"Rene\B2002-BLK"
B2002-BLK-34DDD,Bra,B2002,5,"Rene\B2002-BLK"
B2002-BLK-36DDD,Bra,B2002,1,"Rene\B2002-BLK"
B2003-BLK-30DD,Bra,B2003,15,"Rene\B2003-BLK"
B2003-BLK-30DDD,Bra,B2003,18,"Rene\B2003-BLK"
B2003-BLK-30F,Bra,B2003,5,"Rene\B2003-BLK"
B2003-BLK-32DD,Bra,B2003,2,"Rene\B2003-BLK"
B2003-BLK-32DDD,Bra,B2003,2,"Rene\B2003-BLK"
B2003-BLK-32F,Bra,B2003,15,"Rene\B2003-BLK"
B2003-BLK-34DDD,Bra,B2003,4,"Rene\B2003-BLK"
B2003-BLK-34F,Bra,B2003,2,"Rene\B2003-BLK"
B2003-BLK-36DDD,Bra,B2003,7,"Rene\B2003-BLK"
B2004-TAN-30DD,Bra,B2004,3,"Rene\B2004-TAN"
B2004-TAN-30DDD,Bra,B2004,4,"Rene\B2004-TAN"
B2004-TAN-30F,Bra,B2004,3,"Rene\B2004-TAN"
B2004-TAN-32DD,Bra,B2004,3,"Rene\B2004-TAN"
B2004-TAN-32DDD,Bra,B2004,5,"Rene\B2004-TAN"
B2004-TAN-32F,Bra,B2004,1,"Rene\B2004-TAN"
B2004-TAN-34DDD,Bra,B2004,4,"Rene\B2004-TAN"
B2004-TAN-36F,Bra,B2004,2,"Rene\B2004-TAN"
B2006-BLK-30DD,Bra,B2006,4,"Rene\B2006-BLK"
B2006-BLK-30DDD,Bra,B2006,16,"Rene\B2006-BLK"
B2006-BLK-30F,Bra,B2006,10,"Rene\B2006-BLK"
B2006-BLK-32DD,Bra,B2006,3,"Rene\B2006-BLK"
B2006-BLK-32DDD,Bra,B2006,6,"Rene\B2006-BLK"
B2006-BLK-32F,Bra,B2006,21,"Rene\B2006-BLK"
B2006-BLK-34DD,Bra,B2006,7,"Rene\B2006-BLK"
B2006-BLK-34DDD,Bra,B2006,27,"Rene\B2006-BLK"
B2006-BLK-34F,Bra,B2006,1,"Rene\B2006-BLK"
B2006-BLK-36DD,Bra,B2006,2,"Rene\B2006-BLK"
B2006-BLK-36DDD,Bra,B2006,5,"Rene\B2006-BLK"
B2006-BLK-36F,Bra,B2006,3,"Rene\B2006-BLK"
RR50016-WHT-OS,"Bedroom Costume",RR50016,3,"Rene\50016-WHT.jpg","Rene\50016-back.jpg"
RR7094-RED-OS,Bodystocking,RR7094,2,"Rene\7094-RED-All-Heart-Crotchless-Bodystocking-0572.jpg","Rene\7094-RED-All-Heart-Crotchless-Bodystocking-0602.jpg"
RR7095-BLK-OS,Bodystocking,RR7095,2,"Rene\7095-BLK-Neo-Geo-Crotchless-Bodystocking-0772.jpg","Rene\7095-BLK-Neo-Geo-Crotchless-Bodystocking-0796.jpg"
RR50018-BLK-S/M,Teddy,RR50018,0,"Rene\50018-BLK-0202 (1).jpg","Rene\50018-BLK-0232 (1).jpg"
RR50018-BLK-M/L,Teddy,RR50018,0,"Rene\50018-BLK-0202 (1).jpg","Rene\50018-BLK-0232 (1).jpg"
RR50019-BLK-S/M,Teddy,RR50019,0,"Rene\50019-BLK-Up-To-My-Neck-3PC-Choker-Set-0392.jpg","Rene\50019-BLK-Up-To-My-Neck-3PC-Choker-Set-0413 (1).jpg"
RR50019-BLK-M/L,Teddy,RR50019,0,"Rene\50019-BLK-Up-To-My-Neck-3PC-Choker-Set-0392.jpg","Rene\50019-BLK-Up-To-My-Neck-3PC-Choker-Set-0413 (1).jpg"
RR51010-BLK-S/M,Chemise,RR51010,0,"Rene\51010-BLK-0176 (1).jpg","Rene\51010-BLK--0186 (1).jpg"
RR51010-BLK-M/L,Chemise,RR51010,0,"Rene\51010-BLK-0176 (1).jpg","Rene\51010-BLK--0186 (1).jpg"
RR53017-WHT-OS,"Bedroom Costume",RR53017,6,"Rene\53017-WHT-Teachers-Pet-5pc-Set-9707.jpg","Rene\53017-Teachers-Pet-5pc-Set-9736.jpg"
RR53018-BLK-OS,"Bedroom Costume",RR53018,5,"Rene\53018-BLK-At-Your-Service-6pc-Maid-Set-9841.jpg","Rene\53018-BLK-At-Your-Service-6pc-Maid-Set-9885.jpg"
RR53019-WHT-OS,"Bedroom Costume",RR53019,5,"Rene\53019-WHT-Sweet-Mary-Jane-4pc-Set-9766.jpg","Rene\53019-WHT-Sweet-Mary-Jane-4pc-Set-9831.jpg"
RR53020-BLK-S/M,"Bra Set",RR53020,2,"Rene\53020-BLK-New-In-Town-2pc-Bra-Set-0298.jpg","Rene\53020-BLK-New-In-Town-2pc-Bra-Set-0316.jpg"
RR53020-BLK-M/L,"Bra Set",RR53020,2,"Rene\53020-BLK-New-In-Town-2pc-Bra-Set-0298.jpg","Rene\53020-BLK-New-In-Town-2pc-Bra-Set-0316.jpg"
RR53021-BLK-S/M,"Bra Set",RR53021,2,"Rene\53021-BLK-Naughty-Knicker-3pc-Bra-Set-0358.jpg","Rene\53021-BLK-Naughty-Knicker-3pc-Bra-Set-0337.jpg"
RR53021-BLK-M/L,"Bra Set",RR53021,2,"Rene\53021-BLK-Naughty-Knicker-3pc-Bra-Set-0358.jpg","Rene\53021-BLK-Naughty-Knicker-3pc-Bra-Set-0337.jpg"
RR53022-BLK-S/M,"Bra Set",RR53022,2,"Rene\53022-BLK.jpg","Rene\53022-BLK-B.jpg"
RR53022-BLK-M/L,"Bra Set",RR53022,1,"Rene\53022-BLK.jpg","Rene\53022-BLK-B.jpg"
RR7096-BLK-S/M,"Bra Set",RR7096,0,"Rene\7096-BLK-Straight-Up-3pc-Garter-Set-0994 (1).jpg","Rene\7096-BLK--Straight-Up-3pc-Garter-Set-1029 (1).jpg"
RR7096-BLK-M/L,"Bra Set",RR7096,0,"Rene\7096-BLK-Straight-Up-3pc-Garter-Set-0994 (1).jpg","Rene\7096-BLK--Straight-Up-3pc-Garter-Set-1029 (1).jpg"
RR50017-NVY-OS,"Bedroom Costume",RR50017,49,"Rene\50017-NVY-Stop-Traffic-2pc-Set-9933 (1).jpg","Rene\50017-NVY-Stop-Traffic-3pc-Set-9954 (1).jpg"
RR20004X-RED-1X2X,Teddy,RR20004X,1,"Rene\20004-RED.jpg","Rene\20004-RED-B.jpg"
RR7097-BLK-OS,Bodystocking,RR7097,1,"Rene\7097-BLK-Sparkle-Crotchless-Bodystocking-0695.jpg","Rene\7097-BLK-Sparkle-Crotchless-Bodystocking-0714.jpg"
RR7097-RED-OS,Bodystocking,RR7097,13
RR51012-BLK-S/M,Chemise,RR51012,0,"Rene\51012-BLK.jpg","Rene\51012-BLK-b.jpg"
RR51012-BLK-M/L,Chemise,RR51012,0,"Rene\51012-BLK.jpg","Rene\51012-BLK-b.jpg"
RR53023-BLK-S/M,"Bra Set",RR53023,3,"Rene\53023-BLK.jpg","Rene\53023-BLK-b2.jpg"
RR53023-BLK-M/L,"Bra Set",RR53023,3,"Rene\53023-BLK.jpg","Rene\53023-BLK-b2.jpg"
RR1157-BLK-S/M,Panty,RR1157,0,"Rene\1157-BLK.jpg","Rene\1157-BLK-b.jpg"
RR1157-BLK-M/L,Panty,RR1157,0,"Rene\1157-BLK.jpg","Rene\1157-BLK-b.jpg"
RR1157-RED-S/M,Panty,RR1157,0,"Rene\1157-RED.jpg","Rene\1157-RED-b.jpg"
RR1157-RED-M/L,Panty,RR1157,0,"Rene\1157-RED.jpg","Rene\1157-RED-b.jpg"
RR1158-BLK-S/M,Thong,RR1158,0,"Rene\1158-BLK.jpg","Rene\1158-BLK-b.jpg"
RR1158-BLK-M/L,Thong,RR1158,0,"Rene\1158-BLK.jpg","Rene\1158-BLK-b.jpg"
RR1158-RED-S/M,Thong,RR1158,0,"Rene\1158-RED.jpg","Rene\1158-RED-b.jpg"
RR1158-RED-M/L,Thong,RR1158,0,"Rene\1158-RED.jpg","Rene\1158-RED-b.jpg"
RR1159-BLK-S/M,Panty,RR1159,0,"Rene\1159-BLK.jpg","Rene\1159-BLK-b.jpg"
RR1159-BLK-M/L,Panty,RR1159,0,"Rene\1159-BLK.jpg","Rene\1159-BLK-b.jpg"
RR1159-RED-S/M,Panty,RR1159,0,"Rene\1159-RED.jpg","Rene\1159-RED-b.jpg"
RR1159-RED-M/L,Panty,RR1159,0,"Rene\1159-RED.jpg","Rene\1159-RED-b.jpg"
RR50020-BLK-S/M,Teddy,RR50020,0,"Rene\50020-BLK.jpg","Rene\50020-BLK-b.jpg"
RR50020-BLK-M/L,Teddy,RR50020,0,"Rene\50020-BLK.jpg","Rene\50020-BLK-b.jpg"
RR50021-BLK-S/M,Teddy,RR50021,0,"Rene\50021-BLK.jpg","Rene\50021-BLK-b.jpg"
RR50021-BLK-M/L,Teddy,RR50021,0,"Rene\50021-BLK.jpg","Rene\50021-BLK-b.jpg"
RR50022-BLK-S/M,Teddy,RR50022,0,"Rene\50022-BLK.jpg","Rene\50022-BLK-b.jpg"
RR50022-BLK-M/L,Teddy,RR50022,0,"Rene\50022-BLK.jpg","Rene\50022-BLK-b.jpg"
RR51009-BLK-S/M,Chemise,RR51009,0,"Rene\51009-BLK-Out-Front-Lace-and-Mesh-Teddy-Set-0003.jpg","Rene\51009-BLK-Out-Front-Lace-and-Mesh-Teddy-Set-0021.jpg"
RR51009-BLK-M/L,Chemise,RR51009,0,"Rene\51009-BLK-Out-Front-Lace-and-Mesh-Teddy-Set-0003.jpg","Rene\51009-BLK-Out-Front-Lace-and-Mesh-Teddy-Set-0021.jpg"
RR51011-BLK-S/M,Chemise,RR51011,0,"Rene\51011-BLK.jpg","Rene\51011-BLK-b.jpg"
RR51011-BLK-M/L,Chemise,RR51011,0,"Rene\51011-BLK.jpg","Rene\51011-BLK-b.jpg"
RR51011-RED-S/M,Chemise,RR51011,0,"Rene\51011-RED.jpg","Rene\51011-RED-b.jpg"
RR51011-RED-M/L,Chemise,RR51011,0,"Rene\51011-RED.jpg","Rene\51011-RED-b.jpg"
RR53024-BLK-S/M,"Bra Set",RR53024,3,"Rene\53024-BLK.jpg","Rene\53024-BLK-b.jpg"
RR53024-BLK-M/L,"Bra Set",RR53024,3,"Rene\53024-BLK.jpg","Rene\53024-BLK-b.jpg"
RR53024-BUR-S/M,"Bra Set",RR53024,3
RR53024-BUR-M/L,"Bra Set",RR53024,3
RR53025-BLK-S/M,"Bra Set",RR53025,0
RR53025-BLK-M/L,"Bra Set",RR53025,0
RR7080X-TEA-QS,Dress,RR7080X,3,"Rene\7080X-TEA-Swept-Up-Mini-Dress-5501.jpg","Rene\7080X-TEA-Swept-Up-Mini-Dress-5524.jpg"
RR7080X-BLK-QS,Dress,RR7080X,3,"Rene\7080X-BLK-Swept-Up-Mini-Dress-5004.jpg","Rene\7080X-BLK-Swept-Up-Mini-Dress-5035.jpg"
RR1163-WHT-S/M,Panty,RR1163,3
RR1163-WHT-M/L,Panty,RR1163,0
RR1163-PNK-S/M,Panty,RR1163,0
RR1163-PNK-M/L,Panty,RR1163,0
RR1164-BLK-S/M,Panty,RR1164,3
RR1164-BLK-M/L,Panty,RR1164,0
RR1164-PNK-S/M,Panty,RR1164,3
RR1164-PNK-M/L,Panty,RR1164,0
RR1168-BLK-S/M,Panty,RR1168,0
RR1168-BLK-M/L,Panty,RR1168,0
RR1168-PNK-S/M,Panty,RR1168,0
RR1168-PNK-M/L,Panty,RR1168,0
RR53015-BLK-S/M,Panty,RR53015,0,"Rene\53015-BLK.jpg","Rene\53015-BLK-b.jpg"
RR53015-BLK-M/L,Panty,RR53015,10,"Rene\53015-BLK.jpg","Rene\53015-BLK-b.jpg"
RR53026-BLK-S/M,Garterbelt,RR53026,0
RR53026-BLK-M/L,Garterbelt,RR53026,0
RR53028-BLK-S/M,"Bra Set",RR53028,3
RR53028-BLK-M/L,"Bra Set",RR53028,3
RR1160-BLK-S/M,Garterbelt,RR1160,3
RR1160-BLK-M/L,Garterbelt,RR1160,3
RR1162-BLK-S/M,Knicker,RR1162,0
RR1162-BLK-M/L,Knicker,RR1162,0
RR1162-RED-S/M,Knicker,RR1162,0
RR1162-RED-M/L,Knicker,RR1162,0
RR1165-BLK-S/M,Panty,RR1165,0
RR1165-BLK-M/L,Panty,RR1165,0
RR1165-PNK-S/M,Panty,RR1165,0
RR1165-PNK-M/L,Panty,RR1165,0
RR1166-BLK-S/M,Thong,RR1166,0
RR1166-BLK-M/L,Thong,RR1166,0
RR1166-PNK-S/M,Thong,RR1166,0
RR1167-BLK-S/M,Thong,RR1167,0
RR1167-BLK-M/L,Thong,RR1167,0
RR1167-PNK-S/M,Thong,RR1167,0
RR1167-PNK-M/L,Thong,RR1167,0
RR1161-BLK-S/M,Thong,RR1161,0
RR1161-BLK-M/L,Thong,RR1161,0
RR1161-RED-S/M,Thong,RR1161,0
RR1161-RED-M/L,Thong,RR1161,0
RR1054-RED-S/M,Panty,RR1054,0
RR1054-RED-M/L,Panty,RR1054,0
