stock_code,parent_stock_type,parent_stock_code,stock_available
FV30696-LEO-L,"Bedroom Costume",FV30696,1,"Fever\30696.jpg"
FV30696-LEO-M,"Bedroom Costume",FV30696,0,"Fever\30696.jpg"
FV30696-LEO-S,"Bedroom Costume",FV30696,0,"Fever\30696.jpg"
FV30731-PNK-L,"Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-M,"Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-S,"Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30731-PNK-XS,"Fancy Dress",FV30731,0,"Fever\30731.jpg"
FV30759,Tutu/Peticoat,FV30759,0,"Fever\30759_A1.jpg"
FV30760,Tutu/Peticoat,FV30760,0,"Fever\30760.jpg"
FV30761,Tutu/Peticoat,FV30761,0,"Fever\30761.jpg"
FV30819-CAM-M,"Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30819-CAM-S,"Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30819-CAM-XS,"Fancy Dress",FV30819,0,"Fever\30819.jpg"
FV30886-RED-L,"Fancy Dress",FV30886,0,"Fever\30886.jpg"
FV30886-RED-S,"Fancy Dress",FV30886,0,"Fever\30886.jpg"
FV30886-RED-M,"Fancy Dress",FV30886,1,"Fever\30886.jpg"
FV31067,Hotpants,FV31067,0,"Fever\31067_A1.jpg"
FV31126-BLK-M,"Fancy Dress",FV31126,0,"Fever\31126.jpg"
FV31126-BLK-S,"Fancy Dress",FV31126,0,"Fever\31126.jpg"
FV31212-BLK-L,"Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31212-BLK-M,"Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31212-BLK-S,"Fancy Dress",FV31212,0,"Fever\31212.jpg"
FV31448-BLK-M,"Fancy Dress",FV31448,0,"Fever\31448.jpg"
FV31448-BLK-S,"Fancy Dress",FV31448,0,"Fever\31448.jpg"
FV31868,Tutu/Peticoat,FV31868,0,"Fever\31868.jpg"
FV31869,Tutu/Peticoat,FV31869,0,"Fever\31869.jpg"
FV31901-BLK-L,"Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-M,"Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-S,"Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31901-BLK-XS,"Fancy Dress",FV31901,0,"Fever\31901.jpg"
FV31969-BLK-L,"Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV31969-BLK-S,"Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV31969-BLK-XS,"Fancy Dress",FV31969,0,"Fever\31969.jpg"
FV32036-BLK-M,"Fancy Dress",FV32036,0,"Fever\32036.jpg"
FV32036-BLK-S,"Fancy Dress",FV32036,0,"Fever\32036.jpg"
FV32042-BRN-M,"Fancy Dress",FV32042,0,"Fever\32042.jpg"
FV32042-BRN-S,"Fancy Dress",FV32042,0,"Fever\32042.jpg"
FV32249-PNK-M,"Fancy Dress",FV32249,0,"Fever\32249.jpg"
FV32330,Eyelash,FV32330,1,"Fever\32330.jpg"
FV32335,Tutu/Peticoat,FV32335,0,"Fever\32335.jpg"
FV32744-PUR-S,"Fancy Dress",FV32744,0,"Fever\32744.jpg"
FV32744-PUR-M,"Fancy Dress",FV32744,0,"Fever\32744.jpg"
FV32801-GRN-M,"Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32801-GRN-S,"Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32801-GRN-XS,"Fancy Dress",FV32801,0,"Fever\32801.jpg"
FV32927,Headband,FV32927,0,"Fever\32927.jpg"
FV33010,Tutu/Peticoat,FV33010,0,"Fever\33010.jpg"
FV33182-BRN-M,"Fancy Dress",FV33182,0,"Fever\33182.jpg"
FV33258-BRN-L,"Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33258-BRN-M,"Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33258-BRN-S,"Fancy Dress",FV33258,0,"Fever\33258.jpg"
FV33278-RED-S,"Fancy Dress",FV33278,0,"Fever\33278.jpg"
FV33469-SLV-M,"Fancy Dress",FV33469,0,"Fever\33469.jpg"
FV33469-SLV-S,"Fancy Dress",FV33469,0,"Fever\33469.jpg"
FV33623,Hats,FV33623,0,"Fever\33623.jpg"
FV33682,Tutu/Peticoat,FV33682,0,"Fever\33682_A1.jpg"
FV33794-BRN-L,"Fancy Dress",FV33794,0,"Fever\33794.jpg"
FV33794-BRN-M,"Fancy Dress",FV33794,0,"Fever\33794.jpg"
FV33794-BRN-S,"Fancy Dress",FV33794,0,"Fever\33794.jpg"
