id,stock_code,associated_ref,stock_desc,long_desc,epos_desc,web_teaser,sell_price,sell_price_web,image_filename,vat_rate,stock_type,stock_type_id,stock_mid_type,stock_mid_type_id,sub_type,stock_sub_type,sub_type_id,manufacturer,supplier_stock_code,lead_time,weight,stock_ttype,stock_ttype_id,web_pageorder,web_colourvalue,deleted,web,discounted,drop_ship,discounts_disabled,run_to_zero,vat_relief_qualified,stock_id,stock_controlled,availability,meta_title,meta_description,meta_keywords,max_display_qty,launch_date,launch_time,reward_points,reorder_multiple,purchase_multiple,min_level,safe_level,height,width,depth,depth,country_of_manufacture
90,ADORE-1018CT,,"7"" Heel, 2 3/4"" Tinted PF Open Toe Ankle Boot, Side Zip",,,,49.28,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43394,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
94,ADORE-708MG,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal w/Mini Glitter",,,,35.2,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45451,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
96,ADORE-1018DCS,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot w/RS, Side Zip",,,,83.6,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43407,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
97,ADORE-708MMG,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal w/Mini Glitter",,,,37.84,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45468,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
99,ADORE-1018FS,,"*7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip",,,,40.92,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43414,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
102,ADORE-1018G,,"7"" Heel, 2 3/4"" PF Glitter Ankle Boot, Side Zip",,,,55.44,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43456,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
103,ADORE-708MR-5,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal w/Glitter & Stones",,,,59.84,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45477,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
105,ADORE-1018GT,,"7"" Heel, 2 3/4"" Tinted PF Open Toe Ankle Boot, Side Zip",,,,54.56,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43492,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
107,AL-12-3045K,,"KITTEN LEYLA PLAYSET","KITTEN LEYLA PLAYSET. 90% Polyester 10% Elastan",,,14.36,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,130,Lingerie,9,0,default,0,0,0,0,0,0,0,65195,-1,,,,,0,,,0,1,0,0,0,23,15,4,
111,AL-12-4082K,,"Wet Look Wrap Top & Shorts","Wet Look Wrap Top & Shorts. 90% Polyester 10% Elastan",,,18.47,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65196,-1,,,,,0,,,0,1,0,0,0,23,15,4,
112,AL-12-4402,,"A tempting two piece comprised of wet look and nylon cropped halter top and an ultra saucy mini skirt.",,,,17.44,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,-1,0,66879,0,,,,,0,,,0,1,0,0,0,24,17,5,
113,ADORE-1018HG,,"7"" Heel, 2 3/4"" PF Open Toe/Heel Ankle Boot, Side Zip",,,,59.84,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43500,0,,,,,0,,,0,1,0,0,0,4.1,11,15.4,
116,ADORE-1018MSC,,"7"" Heel, 2 3/4"" Chrome PF Ankle Boot",,,,57.2,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43510,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
117,ADORE-708N,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal",,,,36.96,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45607,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
119,AL-12-6055,,"ALLURE LAVISHLY LUST PLAYSET","ALLURE LAVISHLY LUST PLAYSET. 100%POLYESTER",,,16.42,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65113,-1,,,,,0,,,0,1,0,0,0,24,17,5,
120,AL-12-6602XK,,"Lace & Wet Look Top & Garter 3 Piece Set","Lace & Wet Look Top & Garter 3 Piece Set. 90% Polyester 10% Elastan",,,17.44,0,?,20,Set,41,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,-1,0,65335,-1,,,,,0,,,0,1,0,0,0,23,15,4,
122,AL-12-7032K,,"Wet Look Bra & G-String Set","Wet Look Bra & G-String Set. 90% Polyester 10% Elastan",,,8.21,0,?,20,"Bra Set",73,,0,,,0,Allure,,1,140,Lingerie,9,0,default,0,0,0,0,0,0,0,65198,-1,,,,,0,,,0,1,0,0,0,23,15,2,
124,ADORE-1018MSHT,,"7"" Heel, 2 3/4"" Tinted PF Open Toe Ankle Boot, Side Zip",,,,49.28,0,?,20,Boots,96,,0,Ankle,Ankle,5,Pleaser,,1,500,Footwear,14,0,default,0,-1,0,0,0,0,0,43517,0,,,,,0,,,0,1,0,0,0,3.7,9.4,14.2,
128,ADORE-708N-DT,,"7"" Heel, 2 3/4"" PF Ankle Strap Sandal",,,,34.32,0,?,20,Sandal,95,,0,"Ankle Strap","Ankle Strap",3,Pleaser,,1,300,Footwear,14,0,default,0,0,0,0,0,0,0,45568,0,,,,,0,,,0,1,0,0,0,3.7,10.2,11.4,
131,AL-12001,,"TRIPLE X LEATHER WRIST CUFFS","TRIPLE X LEATHER WRIST CUFFS. Leather",,,25.65,0,?,20,Cuffs,228,,0,,,0,Allure,,1,100,Accessories,8,0,default,0,0,0,0,0,0,0,65152,-1,,,,,0,,,0,1,0,0,0,30,8,2,
132,AL-12002,,"TRIPLE X LEATHER ANKLE CUFFS","TRIPLE X LEATHER ANKLE CUFFS. Leather",,,26.67,0,?,20,Cuffs,228,,0,,,0,Allure,,1,100,Accessories,8,0,default,0,0,0,0,0,0,0,65153,-1,,,,,0,,,0,1,0,0,0,30,8,2,
133,AL-12003,,"TRIPLE X LEATHER BIT GAG","TRIPLE X LEATHER BIT GAG. Leather",,,12.31,0,?,20,Accessories,215,,0,,,0,Allure,,1,100,Lingerie,9,0,default,0,0,0,0,0,0,0,65154,-1,,,,,0,,,0,1,0,0,0,30,8,2,
134,AL-12004,,"TRIPLE X LEATHER PADDED MASK","TRIPLE X LEATHER PADDED MASK. Leather",,,8.21,0,?,20,Accessories,215,,0,,,0,Allure,,1,100,Lingerie,9,0,default,0,0,0,0,0,0,0,65155,-1,,,,,0,,,0,1,0,0,0,30,8,2,
135,AL-12005,,"TRIPLE X LEATHER WHIP","TRIPLE X LEATHER WHIP. Leather",,,22.57,0,?,20,Accessories,215,,0,,,0,Allure,,1,100,Lingerie,9,0,default,0,0,0,0,0,0,0,65156,-1,,,,,0,,,0,1,0,0,0,30,8,2,
