stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP145162-RED-XL,"Mini Short - Red X-Large",Shorts,MP145162,3,"Male_Power\145162RE.jpg","Male_Power\145162RE_Back.jpg"
MP145162-WHT-M,"Mini Short - White Medium",Shorts,MP145162,1,"Male_Power\145162WH.jpg","Male_Power\145162WH_Back.jpg"
MP145176-BLK-L,"Mini Short - Black Large",Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-M,"Mini Short - Black Medium",Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-S,"Mini Short - Black Small",Shorts,MP145176,3,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145176-BLK-XL,"Mini Short - Black X-Large",Shorts,MP145176,12,"Male_Power\145176BK.jpg","Male_Power\145176BK_Back.jpg"
MP145194-CRL-S,"Mini Short - Coral Small",Shorts,MP145194,1,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-M,"Mini Short - Coral Medium",Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-L,"Mini Short - Coral Large",Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-CRL-XL,"Mini Short - Coral X-Large",Shorts,MP145194,2,"Male_Power\145194CR.jpg","Male_Power\145194CR_Back.jpg"
MP145194-PNK-S,"Mini Short - Pink Small",Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-M,"Mini Short - Pink Medium",Shorts,MP145194,2,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-L,"Mini Short - Pink Large",Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-PNK-XL,"Mini Short - Pink X-Large",Shorts,MP145194,3,"Male_Power\145194PK.jpg","Male_Power\145194PK_Back.jpg"
MP145194-TRQ-S,"Mini Short - Turquoise Small",Shorts,MP145194,3,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145194-TRQ-L,"Mini Short - Turquoise Large",Shorts,MP145194,2,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145194-TRQ-XL,"Mini Short - Turquoise X-Large",Shorts,MP145194,3,"Male_Power\145194TQ.jpg","Male_Power\145194TQ_Back.jpg"
MP145203-PRNT-S,"Mini Short - Print Small",Shorts,MP145203,2,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145203-PRNT-M,"Mini Short - Print Medium",Shorts,MP145203,1,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145203-PRNT-XL,"Mini Short - Print X-Large",Shorts,MP145203,1,"Male_Power\145203PR.jpg","Male_Power\145203PR_LS.jpg","Male_Power\145203PR_Back.jpg"
MP145215-ROY/BLK-S,"Mini Pouch Short - Royal/Black Small",Shorts,MP145215,1,"Male_Power\145215RB.jpg","Male_Power\145215RB_Back.jpg"
MP145215-ROY/BLK-XL,"Mini Pouch Short - Royal/Black X-Large",Shorts,MP145215,2,"Male_Power\145215RB.jpg","Male_Power\145215RB_Back.jpg"
MP145215-WHT/BLK-S,"Mini Pouch Short - White/Black Small",Shorts,MP145215,1,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145215-WHT/BLK-M,"Mini Pouch Short - White/Black Medium",Shorts,MP145215,2,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145215-WHT/BLK-L,"Mini Pouch Short - White/Black Large",Shorts,MP145215,2,"Male_Power\145215WB.jpg","Male_Power\145215WB_Back.jpg"
MP145223-WHT-XL,"Mini Short - White X-Large",Shorts,MP145223,4,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-S,"Mini Short - White Small",Shorts,MP145223,2,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-M,"Mini Short - White Medium",Shorts,MP145223,3,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145223-WHT-L,"Mini Short - White Large",Shorts,MP145223,4,"Male_Power\145223WH.jpg","Male_Power\145223WH_Back.jpg"
MP145229-ORG-M,"Mini Short - Orange Medium",Shorts,MP145229,1,"Male_Power\145229OR.jpg","Male_Power\145229OR_Back.jpg"
MP145229-ORG-XL,"Mini Short - Orange X-Large",Shorts,MP145229,1,"Male_Power\145229OR.jpg","Male_Power\145229OR_Back.jpg"
MP145229-PUR-XL,"Mini Short - Purple X-Large",Shorts,MP145229,1,"Male_Power\145229PL.jpg","Male_Power\145229PL_Back.jpg"
MP145232-PRNT-L,"Mini Short - Print Large",Shorts,MP145232,1,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145232-PRNT-S,"Mini Short - Print Small",Shorts,MP145232,1,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145232-PRNT-XL,"Mini Short - Print X-Large",Shorts,MP145232,8,"Male_Power\145232BK.jpg","Male_Power\145232BK_Back.jpg"
MP145240-PRNT-S,"Mini Short - Print Small",Shorts,MP145240,1,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
MP145240-PRNT-L,"Mini Short - Print Large",Shorts,MP145240,5,"Male_Power\145240PR.jpg","Male_Power\145240PR_Back.jpg"
