stock_code,parent_stock_type,parent_stock_code,stock_available
STM10697-BLK-M,Babydoll,STM10697,118,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-BLK-L,Babydoll,STM10697,119,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-BLK-XL,Babydoll,STM10697,122,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG"
STM10697-RED-M,Babydoll,STM10697,69,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-S,Babydoll,STM10697,23,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-L,Babydoll,STM10697,76,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-RED-XL,Babydoll,STM10697-RED-XL,73,"STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-L,Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-M,Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-S,Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-XL,Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697X-BLK-1X/2X,Babydoll,STM10697X-BLK-1X/2X,120,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG"
STM10697X-BLK-3X/4X,Babydoll,STM10697X,107,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG"
STM10697X-RED-1X/2X,Babydoll,STM10697X,89,"STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-RED-3X/4X,Babydoll,STM10697X,93,"STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-MAU-1X/2X,Babydoll,STM10697X,0,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG","STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-MAU-3X/4X,Babydoll,STM10697X,0,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG","STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10698-RED-XL,"Bustiers & Corsets",STM10698-RED-XL,4,"STM\10698_RED_F.JPG","STM\10698_RED_B.JPG"
STM10698X-RED-1X/2X,"Bustiers & Corsets",STM10698X-RED-1X/2X,87,"STM\10698X_RED_F.JPG","STM\10698X_RED_B.JPG"
STM10718-BLK-S,Teddy,STM10718,5,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG"
STM10718-BLK-M,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG"
STM10718-BLK-L,Teddy,STM10718,1,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG"
STM10718-BLK-XL,Teddy,STM10718,0,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG"
STM10718-RED-S,Teddy,STM10718,0,"STM\10718_RED_F.JPG","STM\10718_RED_B.JPG"
