stock_code,description,parent_stock_type,parent_stock_code,stock_available,post_type,image_1,image_2
MSB689-BLK-M,"Magic Silk Chemise & Split G-string Set / Black / Medium",Chemise,MSB689,1,product,"Magic Silk\B689BLK.jpg","Magic Silk\B689_Back.jpg"
MSB756-PNK-QS,"Magic Silk Lace Diamond Teddy / Pink / Queen Size",Teddy,MSB756,1,product,"Magic Silk\B756PIN.jpg","Magic Silk\B756PIN-2.jpg"
MSB756-YEL-QS,"Magic Silk Lace Diamond Teddy / Yellow / Queen Size",Teddy,MSB756,2,product,"Magic Silk\B756YEL.jpg","Magic Silk\B756YEL-2.jpg"
MSB759-PNK-QS,"Magic Silk Lace Bow Teddy / Pink / Queen Size",Teddy,MSB759,1,product,"Magic Silk\B759PIN.jpg",
MSB870-BLK-QS,"Magic Silk Cutout Mini Dress & G-String / Black / Queen Size",Dress,MSB870,4,product,"Magic Silk\B870BLK.jpg","Magic Silk\B870BLK_Back.jpg"
MSB891-BLK-QS,"Magic Silk Merrywidow Jacket & G-String / Black / Queen Size",Babydoll,MSB891,3,product,"Male_Power\B891BLK",
MSB915-LME-QS,"Magic Silk Keyhole Teddy  / Lime / Queen Size",Teddy,MSB915,1,product,"Magic Silk\B915LIM.jpg","Magic Silk\B915LIM_Back.jpg"
MSB951-BLK-QS,"Magic Silk Zigzag Dress & G-String Set / Black / Queen Size",Dress,MSB951,1,product,"Magic Silk\B951BLK.jpg","Magic Silk\B951BLK_Back.jpg"
MSB968-LME-QS,"Magic Silk Zipper Back Tube Dress & G-String / Lime / Queen Size",Dress,MSB968,1,product,"Magic Silk\B668LIM.jpg","Magic Silk\B668LIM_Back.jpg"
MSB968-PNK-QS,"Magic Silk Zipper Back Tube Dress & G-String / Pink / Queen Size",Dress,MSB968,1,product,"Magic Silk\B668PIN.jpg","Magic Silk\B668PIN_Back.jpg"
MSB968-BLU-QS,"Magic Silk Zipper Back Tube Dress & G-String / Blue / Queen Size",Dress,MSB968,1,product,"Magic Silk\B668BLU.jpg","Magic Silk\B668BLU_Back.jpg"
MSC304-WHT-LXL,"Magic Silk Say Ahh / White / Large/X-Large","Bedroom Costume",MSC304,0,product,"Magic Silk\C304WHT.jpg","Magic Silk\C304WHT_Back.jpg"
MSC310-BLK-SM,,"Bedroom Costume",MSC310-BLK-SM,1,product,"Magic Silk\C310BLK.jpg","Magic Silk\C310BLK_Back.jpg"
