stock_code,description,parent_stock_type,parent_stock_code,stock_available
BW054-ZEB/LPNK-DS,"Lace halter dress / Zebra/Light Pink / Diva Size",Dress,BW054,34,"Baci\BW054_03.jpg"
BW054-ZEB/LPNK-QS,"Lace halter dress / Zebra/Light Pink / Queen Size",Dress,BW054,30,"Baci\BW054_03.jpg"
BW067-LEO-DIVA,"Two-Piece Chemise Set - Leopard Diva Size",Chemise,BW067,13,"Baci\BW067_03.jpg","Baci\BW067_04.jpg"
BW070-BLK/LEO-L,"Lace And Microfiber Thong / Black /Leopard / Large",Thong,BW070,34,"Baci\BW070_01.jpg"
BW073-LEO/PNK-DS,"Two-Piece babydoll Set / Leopard/Pink / Diva Size",Babydoll,BW073,91,"Baci\BW073_03.jpg"
BW073-LEO/PNK-OS,"Two-Piece babydoll Set / Leopard/Pink / One Size",Babydoll,BW073,1,"Baci\BW073_01.jpg"
BW073-LEO/PNK-QS,"Two-Piece babydoll Set / Leopard/Pink / Queen Size",Babydoll,BW073,85,"Baci\BW073_03.jpg"
BW079-LEO/BLU-DS,"Lace halter dress / Leopard/Blue / Diva Size",Dress,BW079,83,"Baci\BW079_03.jpg"
BW079-LEO/BLU-OS,"Lace halter dress / Leopard/Blue / One Size",Dress,BW079,10,"Baci\BW079_01.jpg"
BW079-LEO/BLU-QS,"Lace halter dress / Leopard/Blue / Queen Size",Dress,BW079,86,"Baci\BW079_03.jpg"
BW083-WHT/PNK-DS,"Two-Piece Doll Set / White/Pink / Diva Size",Babydoll,BW083,79,"Baci\BW083_03.jpg"
BW083-WHT/PNK-QS,"Two-Piece Doll Set / White/Pink / Queen Size",Babydoll,BW083,78,"Baci\BW083_03.jpg"
BW086-WHT/LPNK-L,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Large",Boyshort,BW086,25,"Baci\BW086_01.jpg"
BW086-WHT/LPNK-M,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Medium",Boyshort,BW086,108,"Baci\BW086_01.jpg"
BW086-WHT/LPNK-S,"Microfiber Boyshorts w/lace Trim / White/Light Pink / Small",Boyshort,BW086,36,"Baci\BW086_01.jpg"
BW098-PNK-DS,"Lace Halter Dress / Pink / Diva Size",Dress,BW098,40,"Baci\BW098_03.jpg"
BW098-PNK-OS,"Lace Halter Dress / Pink / One Size",Dress,BW098,12,"Baci\BW098_01.jpg"
BW098-PNK-QS,"Lace Halter Dress / Pink / Queen Size",Dress,BW098,33,"Baci\BW098_03.jpg"
