stock_code,description,parent_stock_type,parent_stock_code,stock_available
PL23072-GLD-S/M,"Lace Up Lover 2Pc Bra Set - Gold Small/Medium","Bra Set",PL23072,3,"PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4687","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4717.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4720.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4722.jpg","PL\23072-GLD--Laced-Up-Lover-2pc-Bra-Set--4754.jpg"
PL23072-SLV-M/L,"Lace Up Lover 2Pc Bra Set - Silver Medium/Large","Bra Set",PL23072,14,"PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5331","PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5339.jpg","PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5360.jpg"
PL23072-SLV-S/M,"Lace Up Lover 2Pc Bra Set - Silver Small/Medium","Bra Set",PL23072,11,"PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5331","PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5339.jpg","PL\23072-SLV--Laced-Up-Lover-2pc-Bra-Set-5360.jpg"
PL23073-BLK-OS,"Open Love Hottie 2Pc Bra Set Black / One Size","Bra Set",PL23073,20,"PL\23073-BLK--Open-Love-Hottie-2pc-Bra-Set-5750","PL\23073-BLK--Open-Love-Hottie-2pc-Bra-Set-5751.jpg","PL\23073-BLK--Open-Love-Hottie-2pc-Bra-Set-5768.jpg","PL\23073-BLK--Open-Love-Hottie-2pc-Bra-Set-5778.jpg","PL\23073-BLK--Open-Love-Hottie-2pc-Bra-Set-5782.jpg"
PL23073-PNK-OS,"Open Love Hottie 2Pc Bra Set Pink / One Size","Bra Set",PL23073,12,"PL\23073-PNK--Open-Love-Hottie-2pc-Bra-Set-5087.jpg","PL\23073-PNK--Open-Love-Hottie-2pc-Bra-Set-5091.jpg"
PL23073X-BLK-QS,"Open Love Hottie 2Pc Bra Set Black / Queen Size","Bra Set",PL23073X,2,"PL\23073X-BLK--Open-Love-Hottie-2pc-Bra-Set-6644.jpg","PL\23073X-BLK--Open-Love-Hottie-2pc-Bra-Set-6672.jpg"
PL23073X-PNK-QS,"Open Love Hottie 2Pc Bra Set Pink / Queen Size","Bra Set",PL23073X,2,"PL\23073X-PNK--Open-Love-Hottie-2pc-Bra-Set-6606.jpg","PL\23073X-PNK--Open-Love-Hottie-2pc-Bra-Set-6640.jpg"
PL24011-GRN-L,"Lace Hooded Jacket With Pocket - Green Large",Jacket,PL24011,2,"PL\24011-GRN","PL\24011-GRN-B.jpg"
PL24011-GRN-M,"Lace Hooded Jacket With Pocket - Green Medium",Jacket,PL24011,3,"PL\24011-GRN","PL\24011-GRN-B.jpg"
PL24011-GRN-S,"Lace Hooded Jacket With Pocket - Green Small",Jacket,PL24011,1,"PL\24011-GRN","PL\24011-GRN-B.jpg"
PL24012-GRN-L,"Lace Short With Satin Bow - Green Large",Shorts,PL24012,5,"PL\24012-GRN","PL\24012-GRN-B.jpg"
PL24012-GRN-M,"Lace Short With Satin Bow - Green Medium",Shorts,PL24012,5,"PL\24012-GRN","PL\24012-GRN-B.jpg"
PL24012-GRN-S,"Lace Short With Satin Bow - Green Small",Shorts,PL24012,3,"PL\24012-GRN","PL\24012-GRN-B.jpg"
PL24013-GRN-L,"Lace Hooded Short Jacket - Green Large",Jacket,PL24013,2,"PL\24013-GRN","PL\24013-GRN-B.jpg"
PL24013-GRN-M,"Lace Hooded Short Jacket - Green Medium",Jacket,PL24013,2,"PL\24013-GRN","PL\24013-GRN-B.jpg"
PL24013-GRN-S,"Lace Hooded Short Jacket - Green Small",Jacket,PL24013,3,"PL\24013-GRN","PL\24013-GRN-B.jpg"
PL24014-GRN-L,"Lace Pant With Satin Bow - Green Large",Pants,PL24014,0,"PL\24014-GRN","PL\24014-GRN-B.jpg"
