stock_code,parent_stock_type,parent_stock_code,stock_available
MSPAK244-BLK-QUEEN,Bondage,MSPAK244,3,"Magic Silk\PAK-244ST_QS .jpg","Magic Silk\PAK-244ST_ALT_QS .jpg","Magic Silk\PAK-244ST_Back_QS .jpg"
MSPAK244-BLK-L/XL,Bondage,MSPAK244,5,"Magic Silk\PAK-244ST.jpg","Magic Silk\PAK-244ST_Back.jpg"
MSPAK245-BLK-QUEEN,Bondage,MSPAK245,6,"Magic Silk\PAK-245ST_QS .jpg","Magic Silk\PAK-245ST_ALT_QS .jpg","Magic Silk\PAK-245ST_ALT2_QS .jpg","Magic Silk\PAK-245ST_Back_QS .jpg"
MSPAK245-BLK-S/M,Bondage,MSPAK245,3,"Magic Silk\PAK-245ST.jpg","Magic Silk\PAK-245ST_Back.jpg"
MSPAK245-BLK-L/XL,Bondage,MSPAK245,8,"Magic Silk\PAK-245ST.jpg","Magic Silk\PAK-245ST_Back.jpg"
MSPAK246-BLK-L/XL,Bondage,MSPAK246,6,"Magic Silk\PAK-246ST.jpg","Magic Silk\PAK-246ST_Back.jpg"
MSPAK246-BLK-S/M,Bondage,MSPAK246,4,"Magic Silk\PAK-246ST.jpg","Magic Silk\PAK-246ST_Back.jpg"
MSPAK247-BLK-L/XL,Bondage,MSPAK247,1,"Magic Silk\PAK-247ST.jpg","Magic Silk\PAK-247ST_Back.jpg"
MSPAK247-BLK-S/M,Bondage,MSPAK247,2,"Magic Silk\PAK-247ST.jpg","Magic Silk\PAK-247ST_Back.jpg"
MSPAK248,Bondage,MSPAK248,0,"Magic Silk\PAK-248ST_QS .jpg","Magic Silk\PAK-248ST.jpg","Magic Silk\PAK-248ST_ALT_QS .jpg","Magic Silk\PAK-248ST_ALT2_QS .jpg","Magic Silk\PAK-248ST_Back.jpg","Magic Silk\PAK-248ST_Back_QS .jpg","Magic Silk\PAK-248ST_QS .jpg","Magic Silk\PAK-248ST_ALT_QS .jpg","Magic Silk\PAK-248ST_ALT2_QS .jpg","Magic Silk\PAK-248ST_Back_QS .jpg"
MSPAK249-BLK-L/XL,Bondage,MSPAK249,3,"Magic Silk\PAK-249ST.jpg","Magic Silk\PAK-249ST_Back.jpg"
