stock_code,parent_stock_type,parent_stock_code,stock_available
MP370004-BLK-XL,Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
MP370004-BLK-L,Jock,MP370004,1,"Male_Power\370004BK.jpg","Male_Power\370004BK_Back.jpg"
MP371004-BLK-L,Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP371004-BLK-M,Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP371004-BLK-S,Jock,MP371004,1,"Male_Power\371004BK.jpg","Male_Power\371004BK_Back.jpg"
MP389056-BLK-L/XL,Jock,MP389056,1,"Male_Power\389056BK.jpg","Male_Power\389056BK_Back.jpg"
MP389056-WHT-L/XL,Jock,MP389056,3,"Male_Power\389056WH.jpg"
MP389211-GRY-L/XL,Jock,MP389211,2,"Male_Power\389211GY_1.jpg"
MP389211-GRY-S/M,Jock,MP389211,2,"Male_Power\389211GY_1.jpg"
MP389215-ROY/BLK-S/M,Jock,MP389215,2,"Male_Power\389215RB.jpg"
MP389215-ROY/BLK-L/XL,Jock,MP389215,1,"Male_Power\389215RB.jpg"
MP389215-WHT/BLK-S/M,Jock,MP389215,3,"Male_Power\389215WB.jpg","Male_Power\389215WB_Back.jpg"
MP389215-WHT/BLK-L/XL,Jock,MP389215,3,"Male_Power\389215WB.jpg","Male_Power\389215WB_Back.jpg"
MP390003-BLK-S/M,Jock,MP390003,2,"Male_Power\390003BK.jpg","Male_Power\390003BK_Back.jpg"
MP390194-CRL-S/M,Jock,MP390194,2,"Male_Power\390194CR.jpg"
MP390194-CRL-L/XL,Jock,MP390194,2,"Male_Power\390194CR.jpg"
MP390194-TRQ-S/M,Jock,MP390194,2,"Male_Power\390194TQ.jpg"
MP390194-TRQ-L/XL,Jock,MP390194,1,"Male_Power\390194TQ.jpg"
MP390194-PNK-S/M,Jock,MP390194,0,"Male_Power\390194PK.jpg"
MP390194-PNK-L/XL,Jock,MP390194,0,"Male_Power\390194PK.jpg"
MP391228-WHT-L/XL,Jock,MP391228,2,"Male_Power\391228WH.jpg","Male_Power\391228WH_Back.jpg"
MP391228-WHT-S/M,Jock,MP391228,1,"Male_Power\391228WH.jpg","Male_Power\391228WH_Back.jpg"
MP392030-LEO-S/M,Jock,MP392030,2,"Male_Power\392030BL_2.jpg","Male_Power\392030BL_Back.jpg"
MP393004-BLK-S/M,Jock,MP393004,1,"Male_Power\393004BK.jpg","Male_Power\393004BK_Back.jpg"
MP394242-BLK-L/XL,Jock,MP394242,2,"Male_Power\394-242BK.jpg","Male_Power\394-242BK_ALT.jpg"
MP394242-BUR-S/M,Jock,MP394242,1,"Male_Power\394-242BN.jpg","Male_Power\394-242BN_Back.jpg"
MP394242-BUR-L/XL,Jock,MP394242,3,"Male_Power\394-242BN.jpg","Male_Power\394-242BN_Back.jpg"
MP395241-CLY-S/M,Jock,MP395241,3,"Male_Power\395-241CY.jpg","Male_Power\395-241CY_Back.jpg"
MP395241-CLY-L/XL,Jock,MP395241,2,"Male_Power\395-241CY.jpg","Male_Power\395-241CY_Back.jpg"
MP395244-GRY-L/XL,Jock,MP395244,1,"Male_Power\395-244GY_ALT.jpg","Male_Power\395-244GY_Back.jpg"
MP396217-GRY-S/M,Jock,MP396217,5,"Male_Power\396217GY.jpg","Male_Power\396217GY_Back.jpg"
MP396217-GRY-L/XL,Jock,MP396217,6,"Male_Power\396217GY.jpg","Male_Power\396217GY_Back.jpg"
